Player Name,School Name,Region,Team,Year
Eli Pilcher,Rhodes College,VI,Second,2023
Kyle Stenzel,Christopher Newport University,VI,Second,2023
Nathan Terrell,University of Mary Washington,VI,Second,2023
Carter Averette,University of Lynchburg,VI,Second,2023
Mason Field,Christopher Newport University,VI,Second,2023
Alejandro Gomez,Emory University,VI,Second,2023
Nathan Yared,Shenendoah University,VI,Second,2023
Colton Myers,Emory University,VI,Second,2023
Kade Thuenissen,Covenant College,VI,Second,2023
Freddy Rogers,University of Mary Washington,VI,Third,2023
Josh Condit,Virginia Wesleyan University,VI,Third,2023
Noah Putman,Maryville College,VI,Third,2023
Parker Rody,Covenant College,VI,Third,2023
Barry Jones,Christopher Newport University,VI,Third,2023
Sota Ippongi,Centre College,VI,Third,2023
Grant McCarty,Washington & Lee University,VI,Third,2023
Manzi Shalita,University of Lynchburg,VI,Third,2023
JR Cozine,Oglethorpe University,VI,Third,2023
Leho Le Louarn,North Carolina Wesleyan University,VI,Third,2023
Mo Wumpini,Hampden-Sydney College,VI,Third,2023
Mason Taylor,Ohio Wesleyan University,VII,First,2023
Aidan Burns,Kenyon College,VII,First,2023
Jack Leahy,SUNY Alfred,VII,First,2023
Brady West,Ohio Wesleyan University,VII,First,2023
Eamon Dujakovic,Kenyon College,VII,First,2023
Carter Hancock,University of Mount Union,VII,First,2023
Caleb Urban,Rose-Hulman Institute of Technology,VII,First,2023
Matthew Vatne,Case Western Reserve University,VII,First,2023
Alem Duratovic,Kenyon College,VII,First,2023
Jack Kossoudji,Capital University,VII,First,2023
Harley Kruschwitz,Manchester University,VII,First,2023
Garrett Potts,SUNY Alfred,VII,First,2023
Casey Thompson,Otterbein University,VII,Second,2023
Brenden Gervers,Ohio Northern University,VII,Second,2023
Daniel Kalic,John Carroll University,VII,Second,2023
Justin LeDonne,Penn State University-Behrend,VII,Second,2023
Mark Wischmeyer,Otterbein University,VII,Second,2023
Louis Bez,Mount Aloysius College,VII,Second,2023
Zander Plizga,University of Pittsburgh-Greensburg,VII,Second,2023
William Shaffer,Ohio Northern University,VII,Second,2023
Juan Camacho,Mount Aloysius College,VII,Second,2023
Lucas Cross,Franciscan University,VII,Second,2023
Jamon McCort,University of Mount Union,VII,Second,2023
Ryan Sommerfeld,Ohio Northern University,VII,Second,2023
Sam York,Penn State University-Behrend,VII,Third,2023
Peter Borger,Rose-Hulman Institute of Technology,VII,Third,2023
Izac Coleman,John Carroll University,VII,Third,2023
Chris Giglio,Denison University,VII,Third,2023
Blake Cooper,Penn State University-Behrend,VII,Third,2023
Wil Dunda,Geneva College,VII,Third,2023
Kameron Kist,Denison University,VII,Third,2023
Jaggar Brooker,Ohio Wesleyan University,VII,Third,2023
Azavier Coppin,Chatham University,VII,Third,2023
Chistopher Guerra,Ohio Wesleyan University,VII,Third,2023
