Player Name,School Name,Region,Team,Year
Jalen Holly,University of Wisconsin-Whitewater,IX,Second,2022
Casey McCloskey,St. Olaf College,IX,Second,2022
Will Overberg,Luther College,IX,Second,2022
Evan Siefken,Saint John's University,IX,Third,2022
Jack Viles,Southwestern University,X,First,2022
Drew Alexander,Willamette University,X,First,2022
Hamilton Estrada,University of Saint Thomas (Texas),X,First,2022
Curtis Hale,Colorado College,X,First,2022
Pierce Gallaway,Willamette University,X,First,2022
Craig Johnson,Pacific Lutheran University,X,First,2022
Nick Villanueva,University of Mary Hardin-Baylor,X,First,2022
Jesus Aleman,University of Saint Thomas (Texas),X,First,2022
Daniel Castro,University of Saint Thomas (Texas),X,First,2022
Luis Green,Texas Lutheran University,X,First,2022
Aidan Wall,Chapman University,X,First,2022
Nick Gaston,Pacific Lutheran University,X,Second,2022
Reagan Fortner,Southwestern University,X,Second,2022
Evan Karp,Occidental College,X,Second,2022
JonConnor Rule,Trinity University (Texas),X,Second,2022
Matthew Carlson,Pomona-Pitzer Colleges,X,Second,2022
Ethan Kovach,University of Redlands,X,Second,2022
Melvin Molina,Concordia University (Texas),X,Second,2022
Sean Kim,Willamette University,X,Second,2022
Cris Lozano,Pacific Lutheran University,X,Second,2022
Riley O'Donnell,University of Texas-Dallas,X,Second,2022
Trevor Thompson,Pacific Lutheran University,X,Second,2022
Pierluca Carnovale,Willamette University,X,Third,2022
